Country,Active
Afghanistan,1.08
Albania,25.46
Algeria,9.36
Andorra,54.08
Angola,2.9
Anguilla,59.95
Antigua and Barbuda,37.29
Argentina,43.88
Armenia,4.36
Aruba,69.03
Australia,37.62
Austria,59.22
Azerbaijan,32.84
Bahamas,16.61
Bahrain,63.28
Bangladesh,8.97
Barbados,33.92
Belarus,15.41
Belgium,71.52
Belize,23.59
Benin,0.17
Bermuda,68.68
Bhutan,61.4
Bolivia,25.71
Bonaire Sint Eustatius and Saba,63.29
Bosnia and Herz.,13.06
Botswana,9.26
Brazil,37.66
British Virgin Islands,45.44
Brunei,35.75
Bulgaria,18.59
Burkina Faso,0.48
Cote d'Ivoire,1.01
Cambodia,60.8
Cameroon,0.3
Canada,69.48
Cape Verde,19.31
Cayman Islands,75.85
Central African Rep.,0.2
Chad,0.15
Chile,72.92
China,70.78
Colombia,31.48
Comoros,17.96
Congo,1.98
Cook Islands,62.83
Costa Rica,33.61
Croatia,40.94
Cuba,39.83
Curacao,53.61
Cyprus,60.87
Czechia,55.06
Democratic Republic of Congo,0.04
Denmark,74.55
Djibouti,2.6
Dominica,28.64
Dominican Rep.,43.99
Ecuador,54.64
Egypt,4.61
El Salvador,49.8
England,65.86
Eq. Guinea,11.02
Estonia,44.44
Eswatini,16.49
Ethiopia,0.49
Faeroe Islands,72.87
Falkland Is.s,50.31
Fiji,37.9
Finland,58.97
France,63.71
French Polynesia,43.99
Gabon,3.12
Gambia,6.67
Georgia,18.07
Germany,62.69
Ghana,2.39
Gibraltar,117.12
Greece,57.46
Greenland,63.04
Grenada,18.43
Guatemala,11.13
Guernsey,20.31
Guinea,3.21
Guinea-Bissau,0.34
Guyana,22.36
Haiti,0.16
Honduras,16.79
Hong Kong,52.86
Hungary,57.91
Iceland,79.85
India,14.76
Indonesia,16.36
Iran,16.42
Iraq,5.99
Ireland,72.49
Isle of Man,74.33
Israel,63.6
Italy,65.88
Jamaica,7.27
Japan,54.62
Jersey,72.95
Jordan,31.02
Kazakhstan,32.44
Kenya,1.56
Kiribati,5.69
Kosovo,22.85
Kuwait,21.33
Kyrgyzstan,8.62
Laos,25.87
Latvia,43.29
Lebanon,18.06
Lesotho,11.06
Liberia,0.53
Libya,2.29
Liechtenstein,56.9
Lithuania,60.18
Luxembourg,62.94
Macao,46.06
Madagascar,0.65
Malawi,2.41
Malaysia,56.9
Maldives,60.96
Mali,0.41
Malta,81.28
Mauritania,0.45
Mauritius,61.51
Mexico,32.01
Moldova,18.77
Monaco,58.98
Mongolia,63.76
Montenegro,32.43
Montserrat,27.79
Morocco,46.67
Mozambique,4.86
Myanmar,6.33
Namibia,5.49
Nauru,66.69
Nepal,18.8
Netherlands,63.62
New Caledonia,26.25
New Zealand,33.83
Nicaragua,4.16
Niger,0.35
Nigeria,0.84
Niue,71.25
North Macedonia,32.06
Northern Cyprus,37.28
Northern Ireland,63.35
Norway,64.99
Oman,34.96
Pakistan,11.04
Palestine,10.81
Panama,49.31
Papua New Guinea,0.44
Paraguay,25.63
Peru,27.99
Philippines,16.71
Pitcairn,100
Poland,50.92
Portugal,81.82
Qatar,75.7
Romania,27.48
Russia,28.08
Rwanda,10.31
S. Sudan,0.24
Saint Helena,57.93
Saint Kitts and Nevis,40.93
Saint Lucia,15.81
Saint Vincent and the Grenadines,11.59
Samoa,22.75
San Marino,71.53
Sao Tome and Principe,6.31
Saudi Arabia,50.67
Scotland,69.72
Senegal,3.29
Serbia,42.05
Seychelles,71.87
Sierra Leone,0.49
Singapore,77.19
Sint Maarten (Dutch part),54.09
Slovakia,40.82
Slovenia,46.73
Solomon Is.,3.29
Somaliland,0.91
South Africa,13.18
South Korea,41.88
Spain,77.03
Sri Lanka,51.6
Sudan,1.3
Suriname,27.15
Sweden,62.33
Switzerland,52.94
Syria,1.36
Taiwan,6.62
Tajikistan,16.05
Tanzania,0.57
Thailand,21.61
Timor-Leste,18.39
Togo,4.57
Tonga,25.55
Trinidad and Tobago,33.07
Tunisia,26.89
Turkey,49.72
Turkmenistan,0.16
Turks and Caicos Islands,63.55
Tuvalu,39.01
Uganda,0.78
Ukraine,11.96
United Arab Emirates,80.38
United Kingdom,65.19
United States of America,54.03
Uruguay,73.45
Uzbekistan,9.86
Vanuatu,3.58
Venezuela,14.88
Vietnam,6.64
Wales,69.7
Wallis and Futuna,44.62
Yemen,0.05
Zambia,1.54
Zimbabwe,13.8
